"DISTRICT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL","JAN.FEB","MAM","JJAS","OND","Apple_Whole year","Arcanut (Processed)_Whole year","Arecanut_Kharif","Arecanut_Rabi","Arecanut_Whole year","Arhar_Kharif","Arhar_Rabi","Arhar_Whole year","Ash Gourd_Whole year","Atcanut (Raw)_Whole year","Bajra_Kharif","Bajra_Rabi","Bajra_Summer","Bajra_Whole year","Banana_Autumn","Banana_Kharif","Banana_Rabi","Banana_Summer","Banana_Whole year","Banana_Winter","Barley_Kharif","Barley_Rabi","Beans & Mutter(Vegetable)_Whole year","Beet Root_Whole year","Ber_Whole year","Bhindi_Whole year","Bitter Gourd_Whole year","Black pepper_Kharif","Black pepper_Rabi","Black pepper_Whole year","Bottle Gourd_Whole year","Brinjal_Whole year","Cabbage_Whole year","Cardamom_Kharif","Cardamom_Whole year","Carrot_Whole year","Cashewnut_Kharif","Cashewnut_Whole year","Cashewnut Processed_Whole year","Cashewnut Raw_Whole year","Castor seed_Kharif","Castor seed_Rabi","Castor seed_Whole year","Cauliflower_Whole year","Citrus Fruit_Whole year","Coconut ('000 Nuts)_Kharif","Coconut ('000 Nuts)_Rabi","Coconut ('000 Nuts)_Whole year","Coffee_Whole year","Cond-spcs other_Kharif","Cond-spcs other_Rabi","Coriander_Kharif","Coriander_Rabi","Coriander_Whole year","Cotton(lint)_Autumn","Cotton(lint)_Kharif","Cotton(lint)_Rabi","Cotton(lint)_Whole year","Cotton(lint)_Winter","Cucumber_Whole year","Drum Stick_Whole year","Dry chillies_Autumn","Dry chillies_Kharif","Dry chillies_Rabi","Dry chillies_Summer","Dry chillies_Whole year","Dry chillies_Winter","Dry ginger_Autumn","Dry ginger_Kharif","Dry ginger_Rabi","Dry ginger_Summer","Dry ginger_Whole year","Dry ginger_Winter","Garlic_Kharif","Garlic_Rabi","Garlic_Whole year","Gram_Kharif","Gram_Rabi","Gram_Whole year","Grapes_Whole year","Groundnut_Autumn","Groundnut_Kharif","Groundnut_Rabi","Groundnut_Summer","Groundnut_Whole year","Groundnut_Winter","Guar seed_Kharif","Guar seed_Whole year","Horse-gram_Kharif","Horse-gram_Rabi","Horse-gram_Summer","Horse-gram_Whole year","Horse-gram_Winter","Jack Fruit_Whole year","Jowar_Kharif","Jowar_Rabi","Jowar_Summer","Jowar_Whole year","Jute_Autumn","Jute_Kharif","Jute_Rabi","Jute_Summer","Jute & mesta_Kharif","Jute & mesta_Whole year","Kapas_Kharif","Khesari_Kharif","Khesari_Rabi","Korra_Kharif","Korra_Rabi","Lab-Lab_Whole year","Linseed_Kharif","Linseed_Rabi","Litchi_Whole year","Maize_Autumn","Maize_Kharif","Maize_Rabi","Maize_Summer","Maize_Whole year","Maize_Winter","Mango_Whole year","Masoor_Kharif","Masoor_Rabi","Mesta_Kharif","Mesta_Whole year","Moong_Autumn","Moong_Kharif","Moong_Rabi","Moong_Summer","Moong_Whole year","Moong_Winter","Moth_Kharif","Moth_Whole year","Niger seed_Kharif","Niger seed_Rabi","Niger seed_Whole year","Niger seed_Winter","Oilseeds total_Kharif","Oilseeds total_Whole year","Onion_Autumn","Onion_Kharif","Onion_Rabi","Onion_Summer","Onion_Whole year","Onion_Winter","Orange_Whole year","Other  Rabi pulses_Rabi","Other  Rabi pulses_Whole year","Other Cereals & Millets_Kharif","Other Cereals & Millets_Rabi","Other Cereals & Millets_Whole year","Other Citrus Fruit_Whole year","Other Dry Fruit_Whole year","other fibres_Whole year","Other Fresh Fruits_Whole year","Other Kharif pulses_Kharif","Other Kharif pulses_Rabi","other misc. pulses_Kharif","other misc. pulses_Rabi","other oilseeds_Kharif","other oilseeds_Rabi","other oilseeds_Whole year","Other Vegetables_Whole year","Papaya_Whole year","Peach_Whole year","Pear_Whole year","Peas  (vegetable)_Whole year","Peas & beans (Pulses)_Autumn","Peas & beans (Pulses)_Kharif","Peas & beans (Pulses)_Rabi","Peas & beans (Pulses)_Summer","Peas & beans (Pulses)_Whole year","Peas & beans (Pulses)_Winter","Pineapple_Whole year","Plums_Whole year","Pome Fruit_Whole year","Pome Granet_Whole year","Potato_Autumn","Potato_Kharif","Potato_Rabi","Potato_Summer","Potato_Whole year","Potato_Winter","Pulses total_Kharif","Pulses total_Rabi","Pulses total_Whole year","Pump Kin_Whole year","Ragi_Autumn","Ragi_Kharif","Ragi_Rabi","Ragi_Summer","Ragi_Whole year","Ragi_Winter","Rapeseed &Mustard_Kharif","Rapeseed &Mustard_Rabi","Rapeseed &Mustard_Whole year","Rapeseed &Mustard_Winter","Redish_Whole year","Ribed Guard_Whole year","Rice_Autumn","Rice_Kharif","Rice_Rabi","Rice_Summer","Rice_Whole year","Rice_Winter","Rubber_Whole year","Safflower_Kharif","Safflower_Rabi","Samai_Kharif","Samai_Rabi","Sannhamp_Kharif","Sannhamp_Whole year","Sesamum_Autumn","Sesamum_Kharif","Sesamum_Rabi","Sesamum_Summer","Sesamum_Whole year","Sesamum_Winter","Small millets_Kharif","Small millets_Rabi","Small millets_Whole year","Snak Guard_Whole year","Soyabean_Autumn","Soyabean_Kharif","Soyabean_Rabi","Soyabean_Winter","Sugarcane_Autumn","Sugarcane_Kharif","Sugarcane_Rabi","Sugarcane_Summer","Sugarcane_Whole year","Sugarcane_Winter","Sunflower_Kharif","Sunflower_Rabi","Sunflower_Summer","Sunflower_Whole year","Sweet potato_Autumn","Sweet potato_Kharif","Sweet potato_Rabi","Sweet potato_Whole year","Sweet potato_Winter","Tapioca_Autumn","Tapioca_Kharif","Tapioca_Rabi","Tapioca_Whole year","Tea_Kharif","Tea_Whole year","Tobacco_Kharif","Tobacco_Rabi","Tobacco_Summer","Tobacco_Whole year","Tomato_Whole year","Total foodgrain_Kharif","Turmeric_Autumn","Turmeric_Kharif","Turmeric_Rabi","Turmeric_Summer","Turmeric_Whole year","Turmeric_Winter","Turnip_Whole year","Urad_Autumn","Urad_Kharif","Urad_Rabi","Urad_Summer","Urad_Whole year","Urad_Winter","Varagu_Kharif","Varagu_Rabi","Water Melon_Whole year","Wheat_Rabi","Wheat_Summer","Wheat_Winter","Yam_Whole year"
"HAVERI",0.3,0.5,4,43.6,78.5,114.7,169.8,111.1,99.5,119,43.9,7,791.9,0.8,126.1,495.1,169.9,NA,721,NA,NA,657.444444444444,4616.5,NA,NA,NA,721,260.333333333333,NA,8,NA,NA,NA,NA,NA,1004.22222222222,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,538.5,NA,NA,NA,NA,NA,44,16,16,122.916666666667,NA,NA,NA,29,NA,NA,1090.63636363636,NA,NA,NA,NA,NA,259.454545454545,NA,67066.8571428571,NA,83259,NA,NA,NA,NA,14491.6666666667,767.666666666667,1934.33333333333,33286.375,NA,NA,110.571428571429,NA,NA,78,NA,NA,NA,2219.1,285,1764.5,NA,NA,NA,21316.0833333333,5000,NA,NA,NA,NA,NA,702.909090909091,6150.81818181818,NA,NA,NA,NA,21453.75,41780.8333333333,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.166666666667,NA,NA,107098.583333333,1360.75,839.166666666667,NA,NA,803.5,NA,NA,1,8,NA,13506.75,2263.33333333333,NA,NA,NA,NA,NA,1037.91666666667,NA,NA,NA,NA,NA,NA,8046.2,109.4,46.5,7718,NA,NA,2302.45454545455,NA,NA,NA,NA,NA,NA,NA,236.5,1741.63636363636,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,31,1,NA,47,NA,NA,NA,108.5,NA,NA,1,NA,NA,4.2,NA,NA,NA,NA,NA,NA,2040,NA,1,NA,NA,66.6666666666667,79.6666666666667,NA,NA,NA,NA,NA,44516.5833333333,53,3080.91666666667,NA,NA,NA,NA,2059.16666666667,NA,NA,NA,2.4,NA,847.833333333333,NA,NA,NA,NA,9759.4,NA,NA,NA,NA,3315,NA,NA,NA,NA,NA,NA,3649.55555555556,NA,3436.33333333333,6071.83333333333,2127.41666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,1383.5,NA,NA,NA,NA,NA,3,NA,NA,NA,629.363636363636,352.636363636364,NA,NA,NA,NA,NA,NA,1472.91666666667,NA,NA,NA
"HINGOLI",5,4.8,7.2,6.1,13.4,185.2,243.3,255.7,164.9,66.2,18.2,9.4,979.4,9.8,26.7,849.1,93.8,NA,NA,NA,NA,NA,23990.25,NA,NA,NA,NA,418.363636363636,NA,NA,NA,NA,NA,NA,NA,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78959,NA,71300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27086.6363636364,NA,12,NA,250,NA,4368.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54135.2,19983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783.75,NA,NA,530.5,211.666666666667,250,NA,NA,NA,NA,NA,NA,NA,NA,18503.4545454545,NA,NA,NA,NA,NA,NA,363.636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,NA,300,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.125,NA,NA,NA,NA,NA,6731,NA,NA,NA,NA,NA,NA,23826.75,NA,NA,NA,NA,NA,1667.58333333333,NA,NA,NA,NA,275,333.333333333333,NA,NA,NA,81667.2727272727,129300,NA,NA,7075,NA,NA,12284.625,NA,800.416666666667,8223.08333333333,311.222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,15810.4166666667,NA,NA,NA,NA,NA,NA,NA,32288.2727272727,NA,NA,NA
"HOOGHLY",11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16,6.9,1418.7,38.5,187.3,1067.9,125,NA,NA,NA,NA,162.444444444444,NA,1,NA,NA,NA,28.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883.1,NA,NA,80.6,NA,NA,NA,NA,399,NA,NA,NA,114.4,NA,NA,NA,NA,644.857142857143,7112.875,8813,NA,NA,NA,NA,1,NA,NA,NA,NA,12.5,NA,NA,NA,NA,30841.8181818182,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,62.2,NA,254,NA,NA,NA,NA,440.818181818182,102,NA,NA,35.6666666666667,46,17.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,91290,NA,87854.2222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8489.09090909091,NA,NA,NA,NA,7135.72727272727,NA,NA,102610,NA,185349.363636364,NA,NA,NA,NA,NA,8,15.25,NA,NA,NA,28102.3333333333,17792,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.8,NA,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,58,31.25,NA,NA,NA,NA,NA,NA,791.545454545455,NA,NA,NA
"HOSHANGABAD",11.8,8.3,9.1,3.2,8.1,140.3,416.6,464.4,267.8,37.4,15,10.2,1392.2,20.1,20.4,1289.1,62.6,NA,NA,NA,NA,NA,9235.22222222222,NA,NA,NA,NA,51.4444444444444,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,42.3333333333333,266.5,NA,NA,337.5,NA,NA,NA,NA,NA,328.5,227.5,NA,NA,NA,NA,NA,NA,NA,7.77777777777778,NA,NA,271.5,180,NA,NA,NA,NA,NA,NA,NA,NA,352.875,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.6,NA,NA,105.166666666667,NA,NA,NA,NA,NA,NA,97.25,NA,58019,NA,NA,NA,76.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157.44444444444,72.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.5,NA,NA,NA,NA,1301.55555555556,NA,NA,1578.44444444444,NA,NA,NA,NA,267,NA,1746,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.333333333333,NA,34,6507,NA,NA,NA,NA,5,NA,NA,387,424.6,NA,NA,6,NA,NA,NA,1352,36.5,NA,NA,NA,NA,NA,1051.33333333333,NA,NA,NA,NA,NA,459.5,NA,NA,NA,NA,NA,290.875,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,11980,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,18,NA,542.428571428571,NA,NA,239,NA,2207.83333333333,NA,725,NA,NA,204529.444444444,NA,NA,NA,NA,NA,NA,653.888888888889,NA,15,NA,NA,57,NA,NA,NA,293.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,NA,10.75,NA,NA,NA,218,5.25,NA,NA,NA,NA,NA,373,184922.666666667,NA,NA,NA
"HOSHIARPUR",38.4,39.8,39.8,16,20.4,74.9,275.7,241.5,125.8,31.5,9.3,20,933.1,78.2,76.2,717.9,60.8,NA,NA,NA,NA,NA,109.090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.461538461538,NA,NA,NA,2623.07692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,66076.9230769231,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,133.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3358.33333333333,NA,NA,NA,NA,NA,60846.1538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676.923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17044.4444444444,NA,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.636363636364,NA,NA,NA,NA,NA,NA,NA,145076.923076923,NA,NA,NA
"HOWRAH",12.2,24.9,32,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600,37.1,211,1211.4,140.5,NA,NA,NA,NA,487.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2751,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.3,NA,NA,36.3,NA,NA,NA,NA,42,NA,NA,NA,7.83333333333333,NA,NA,NA,NA,535.25,2304.875,2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4563.63636363636,NA,NA,NA,NA,NA,NA,252.090909090909,NA,NA,NA,NA,NA,NA,NA,73.8333333333333,NA,87.3333333333333,NA,NA,NA,NA,15.2,110,NA,NA,NA,NA,200.818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,6715,NA,8046.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006.54545454545,NA,NA,NA,NA,1816.81818181818,NA,NA,49282.2727272727,NA,73009.4545454545,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1749.33333333333,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,1000.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.1,NA,NA,NA,6.7,22,NA,NA,NA,NA,NA,NA,440.4,NA,NA,NA
"HYDERABAD",5.9,7.4,14.6,20.4,33.8,110.7,176.8,190.5,165.5,95.6,23.7,6.4,851.3,13.3,68.8,643.5,125.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDUKKI",13.4,22.1,43.6,150.4,232.6,651.6,788.9,527.3,308.4,343.2,172.9,48.1,3302.5,35.5,426.6,2276.2,564.2,NA,NA,NA,NA,3554.5,NA,NA,100.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3854.33333333333,NA,NA,NA,NA,NA,NA,6.5,490,NA,NA,68950.4545454545,NA,35.5,NA,NA,32646.9090909091,NA,NA,1320.5,NA,1321,NA,NA,NA,NA,NA,NA,NA,22507.1818181818,12062.5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,638.5,NA,NA,NA,NA,33.3333333333333,NA,NA,1411.16666666667,NA,NA,948.8,NA,NA,NA,439.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,3.8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.333333333333,NA,93,NA,29.6666666666667,NA,NA,NA,821.5,266,NA,NA,NA,NA,NA,29,7035.5,777.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,692,1371.85714285714,1901.57142857143,233.454545454545,NA,1805.4,38186.5,NA,NA,NA,NA,NA,NA,NA,10.3333333333333,NA,NA,5.66666666666667,NA,176,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1697.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,8.90909090909091,NA,NA,NA,NA,7127.7,NA,24872.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMPHAL EAST",13.5,34.3,84.5,145.5,208.9,370.7,324,280.4,189.1,144,36.1,8.2,1839.2,47.8,438.9,1164.2,188.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,30,326.333333333333,20,NA,NA,211.5,NA,NA,103.5,8.5,NA,NA,NA,11,26,242,NA,NA,35,NA,190,NA,NA,NA,NA,NA,210,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,280,671.111111111111,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,42.8571428571429,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,310.5,481.428571428571,NA,NA,NA,NA,NA,NA,37.5,231.5,NA,NA,NA,10,847.777777777778,280,170,NA,100,692.5,NA,38,NA,10,NA,90,NA,318.571428571429,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,26840,28230,NA,NA,NA,6390,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,84,NA,10,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMPHAL WEST",22.3,31,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,1530.9,53.3,307.5,971.8,198.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,90.25,NA,NA,NA,209,NA,NA,78,9,NA,NA,NA,9.5,48.5,215,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,199,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,230,170,327.777777777778,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,NA,67.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,261.428571428571,NA,NA,NA,NA,NA,NA,39.5,92,NA,NA,NA,130,283.333333333333,30,30,NA,120,212.5,NA,41,NA,20,NA,NA,NA,240,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,24,NA,8530,18761.1111111111,NA,NA,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,143.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDORE",5.9,2.3,1.8,1.2,8.3,120.4,270.9,266.9,181.5,38.3,14.1,5.7,917.3,8.2,11.3,839.7,58.1,NA,NA,NA,NA,NA,514,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,88.5,NA,NA,165,NA,NA,NA,NA,NA,206,493,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,622,37,NA,NA,NA,NA,NA,NA,NA,NA,96.8333333333333,NA,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.8,NA,NA,12,NA,NA,NA,NA,NA,NA,2945.25,NA,38857.5555555556,NA,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,376.555555555556,NA,NA,8999.33333333333,NA,NA,NA,NA,53,NA,134.666666666667,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226.33333333333,NA,NA,1259.6,NA,NA,NA,NA,NA,NA,NA,157.5,405,NA,NA,NA,NA,NA,NA,1315,26,NA,NA,NA,NA,NA,261.333333333333,NA,NA,NA,NA,NA,248.5,NA,NA,NA,NA,NA,14627.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.777777777778,NA,NA,NA,NA,NA,26.2222222222222,NA,NA,NA,NA,NA,NA,15.8333333333333,NA,NA,NA,6.33333333333333,NA,10.1666666666667,NA,NA,1,NA,4,NA,NA,NA,NA,217689.222222222,NA,NA,NA,NA,NA,NA,80.6666666666667,NA,21.5,NA,NA,NA,NA,NA,NA,32.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,4.83333333333333,NA,NA,NA,349.8,NA,NA,NA,NA,NA,NA,8,90024.8888888889,NA,NA,NA
